line_num,line,parse,parse_all,meter,meter_all,num_parses,num_viols__bestparse,num_viols__allparses_sum,num_viols__allparses_mean,score_viols__bestparse,score_viols__allparses_sum,score_viols__allparses_mean,num_sylls,num_words,[*strength.w=>-p/1]__bestparse,[*strength.w=>-p/1]__allparses_sum,[*strength.w=>-p/1]__allparses_mean,[*stress.s=>-u/1]__bestparse,[*stress.s=>-u/1]__allparses_sum,[*stress.s=>-u/1]__allparses_mean,[*stress.w=>-p/1]__bestparse,[*stress.w=>-p/1]__allparses_sum,[*stress.w=>-p/1]__allparses_mean,[*footmin-w-resolution/1]__bestparse,[*footmin-w-resolution/1]__allparses_sum,[*footmin-w-resolution/1]__allparses_mean,[*footmin-f-resolution/1]__bestparse,[*footmin-f-resolution/1]__allparses_sum,[*footmin-f-resolution/1]__allparses_mean,hayes_score
31,"Whose fresh repair if now thou not renewest,",whose|FRESH|re|PAIR|if|NOW|thou|NOT|re|NE|west,whose|FRESH|re|PAIR|if|NOW|thou|NOT|re|NE|west,wswswswswsw,wswswswswsw,1,0,0,0.0,0,0,0.0,11,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3.08
32,"Thou dost beguile the world, unbless some mother.",thou|DOST|be|GUILE|the|WORLD.UN*|bless|SOME.MOT*|her,thou|DOST|be|GUILE|the|WORLD.UN*|bless|SOME.MOT*|her    thou|DOST|be|GUILE|the|WORLD.UN*|bless.some*|MOT|her    thou|DOST|be|GUILE|the|WORLD.UN*|bless|SOME|mot.her*    thou|DOST|be|GUILE|the|WORLD|un*|BLESS*|some|MOT|her    thou|DOST|be|GUILE|the|WORLD|un.bless*|SOME.MOT*|her    thou|DOST|be|GUILE|the.world*|UN.BLESS*|some|MOT|her    thou|DOST|be|GUILE|the|WORLD|un.bless*|SOME|mot.her*,wswswsswssw,wswswsswssw    wswswsswwsw    wswswsswsww    wswswswswsw    wswswswwssw    wswswwsswsw    wswswswwsww,7,2,23,3.2857142857142856,2,23,3.2857142857142856,11,8,0,5,0.7142857142857143,0,2,0.2857142857142857,0,6,0.8571428571428571,0,3,0.42857142857142855,2,7,1.0,3.93
33,For where is she so fair whose unear'd womb,for|WHERE|is|SHE|so|FAIR.WHOSE*|u|NEAR|'d|WOMB,for|WHERE|is|SHE|so|FAIR.WHOSE*|u|NEAR|'d|WOMB    for|WHERE|is|SHE|so|FAIR|whose.u*|NEAR|'d|WOMB    for.where|IS|she.so|FAIR.WHOSE*|u|NEAR|'d|WOMB    for.where|IS|she.so|FAIR|whose.u*|NEAR|'d|WOMB    for|WHERE|is|SHE|so|FAIR|whose|U.NEAR*|'d|WOMB    for|WHERE|is.she|SO*|fair*|WHOSE|u|NEAR|'d|WOMB    for.where|IS|she|SO*|fair*|WHOSE|u|NEAR|'d|WOMB    for.where|IS|she.so|FAIR|whose|U.NEAR*|'d|WOMB,wswswsswsws,wswswsswsws    wswswswwsws    wwswwsswsws    wwswwswwsws    wswswswssws    wswwswswsws    wwswswswsws    wwswwswssws,8,1,12,1.5,1,12,1.5,11,9,0,0,0.0,0,4,0.5,0,2,0.25,0,2,0.25,1,4,0.5,2.99
34,Disdains the tillage of thy husbandry?,dis|DAINS|the|TIL|lage|OF*|thy|HUS|ban|DRY*,dis|DAINS|the|TIL|lage|OF*|thy|HUS|ban|DRY*    dis|DAINS|the|TIL|lage|OF*|thy|HUS|ban.dry*    dis|DAINS|the|TIL.LAGE*|of.thy|HUS|ban|DRY*    dis|DAINS|the|TIL.LAGE*|of.thy|HUS|ban.dry*,wswswswsws,wswswswsws    wswswswsww    wswsswwsws    wswsswwsww,4,2,8,2.0,2,8,2.0,10,6,0,0,0.0,2,6,1.5,0,0,0.0,0,2,0.5,0,0,0.0,1.96
35,"Or who is he so fond will be the tomb,",or|WHO|is|HE|so|FOND|will|BE|the|TOMB,or|WHO|is|HE|so|FOND|will|BE|the|TOMB    or.who|IS|he.so|FOND|will|BE|the|TOMB,wswswswsws,wswswswsws    wwswwswsws,2,0,0,0.0,0,0,0.0,10,10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.75
36,Of his self-love to stop posterity?,of.his|SELF-SELF.-LOVE*|to|STOP|pos|TE|ri|TY*,of.his|SELF-SELF.-LOVE*|to|STOP|pos|TE|ri|TY*    of.his|SELF-SELF.-LOVE*|to|STOP|pos|TE|ri.ty*    of.his|SELF-SELF.-LOVE*|to|STOP|pos|TE.RI*|ty    of|HIS*|self-self*|-LOVE|to|STOP|pos|TE|ri|TY*    of|HIS*|self-self*|-LOVE|to|STOP|pos|TE|ri.ty*    of|HIS*|self-self*|-LOVE|to|STOP|pos|TE.RI*|ty    of.his|SELF-SELF|-love.to*|STOP|pos|TE|ri|TY*    of.his|SELF-SELF|-love.to*|STOP|pos|TE|ri.ty*    of.his|SELF-SELF|-love.to*|STOP|pos|TE.RI*|ty,wwsswswsws,wwsswswsws    wwsswswsww    wwsswswssw    wswswswsws    wswswswsww    wswswswssw    wwswwswsws    wwswwswsww    wwswwswssw,9,2,24,2.6666666666666665,2,24,2.6666666666666665,10,6,0,0,0.0,1,9,1.0,0,6,0.6666666666666666,1,6,0.6666666666666666,0,3,0.3333333333333333,5.09
37,Thou art thy mother's glass and she in thee,thou|ART|thy|MOT|her's|GLASS|and|SHE|in.thee,thou|ART|thy|MOT|her's|GLASS|and|SHE|in.thee    thou|ART|thy|MOT|her's|GLASS|and.she|IN|thee,wswswswsww,wswswswsww    wswswswwsw,2,0,0,0.0,0,0,0.0,10,9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3.59
38,Calls back the lovely April of her prime;,CALLS.BACK*|the|LO|vely|A|pril|OF*|her|PRIME,CALLS.BACK*|the|LO|vely|A|pril|OF*|her|PRIME    CALLS.BACK*|the|LO|vely|A.PRIL*|of.her|PRIME    calls*|BACK|the|LO|vely|A|pril|OF*|her|PRIME    calls*|BACK|the|LO|vely|A.PRIL*|of.her|PRIME,sswswswsws,sswswswsws    sswswsswws    wswswswsws    wswswsswws,4,2,8,2.0,2,8,2.0,10,8,0,0,0.0,1,4,1.0,0,2,0.5,0,0,0.0,1,2,0.5,4.08
39,"So thou through windows of thine age shalt see,",SO*|thou.through|WIN|dows|OF*|thine|AGE|shalt*|SEE,SO*|thou.through|WIN|dows|OF*|thine|AGE|shalt*|SEE    so|THOU*|through|WIN|dows|OF*|thine|AGE|shalt*|SEE,swwswswsws,swwswswsws    wswswswsws,2,3,6,3.0,3,6,3.0,10,9,0,0,0.0,2,4,2.0,1,2,1.0,0,0,0.0,0,0,0.0,0.47
40,Despite of wrinkles this thy golden time.,des|PITE|of|WRIN|kles|THIS*|thy|GOL|den|TIME,des|PITE|of|WRIN|kles|THIS*|thy|GOL|den|TIME,wswswswsws,wswswswsws,1,1,1,1.0,1,1,1.0,10,7,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.6
